timestamp,day,hour,bag_id,flight,terminal,zone,sensor,process,speed,vibration,temp,rfid_ok,jam,intervene,priority,result,screen_delay,vehicle_delay
2025-01-01 19:16:00,1,19,B001,FL101,T2,Zone_B,C-02,checkin,1.37,4.7,43.9,1,0,0,0,1,,0.3
2025-01-01 19:20:00,1,19,B001,FL101,T2,Zone_B,S-12,screening,,4.0,42.8,1,0,0,0,1,1.3,
2025-01-01 19:25:00,1,19,B001,FL101,T2,Zone_B,S-23,sorting,,3.0,45.1,1,0,0,0,1,,
2025-01-01 19:30:00,1,19,B001,FL101,T2,Zone_B,S-09,transport,1.51,5.0,50.9,1,0,0,0,1,,1.0
2025-01-01 13:45:00,1,13,B002,FL220,T3,Zone_C,C-02,checkin,1.27,5.3,50.5,1,0,0,0,1,,0.2
2025-01-01 13:48:00,1,13,B002,FL220,T3,Zone_C,S-12,screening,,4.2,49.5,1,0,0,0,1,2.0,
2025-01-01 13:55:00,1,13,B002,FL220,T3,Zone_C,S-22,sorting,,4.1,42.8,1,0,0,0,1,,
2025-01-01 13:58:00,1,13,B002,FL220,T3,Zone_C,S-01,transport,1.67,5.5,49.6,1,0,0,0,1,,0.7
2025-01-01 14:43:00,1,14,B003,FL170,T2,Zone_A,S-03,transport,1.69,4.9,50.0,1,0,0,0,1,,0.7
2025-01-01 14:46:00,1,14,B003,FL170,T2,Zone_A,S-13,screening,,4.7,45.9,1,0,0,0,1,1.4,
2025-01-01 14:52:00,1,14,B003,FL170,T2,Zone_A,S-23,sorting,,5.5,42.5,1,0,0,0,1,,
2025-01-01 14:55:00,1,14,B003,FL170,T2,Zone_A,S-09,transport,1.55,4.6,47.9,1,0,0,0,1,,0.4
2025-01-01 07:30:00,1,7,B004,FL150,T3,Zone_C,C-01,checkin,1.43,4.7,51.3,1,0,0,0,1,,0.5
2025-01-01 07:33:00,1,7,B004,FL150,T3,Zone_C,S-12,screening,,5.1,44.1,1,0,0,0,1,0.0,
2025-01-01 07:36:00,1,7,B004,FL150,T3,Zone_C,S-21,sorting,,3.1,47.8,1,0,0,0,1,,
2025-01-01 07:41:00,1,7,B004,FL150,T3,Zone_C,S-09,transport,1.81,6.7,58.0,1,0,0,0,1,,0.9
2025-01-01 08:35:00,1,8,B005,FL110,T1,Zone_C,S-02,transport,1.79,3.2,47.8,1,0,0,1,1,,1.1
2025-01-01 08:38:00,1,8,B005,FL110,T1,Zone_C,S-11,screening,,3.5,50.0,1,0,1,1,1,1.2,
2025-01-01 08:45:00,1,8,B005,FL110,T1,Zone_C,S-23,sorting,,5.5,43.4,1,0,1,1,1,,
2025-01-01 08:51:00,1,8,B005,FL110,T1,Zone_C,S-03,transport,1.65,5.1,48.8,1,0,1,1,1,,0.3
2025-01-01 08:26:00,1,8,B006,FL155,T3,Zone_B,C-01,checkin,1.58,4.8,51.4,1,0,0,0,1,,0.3
2025-01-01 08:29:00,1,8,B006,FL155,T3,Zone_B,S-11,screening,,4.1,42.1,1,0,0,0,1,0.5,
2025-01-01 08:34:00,1,8,B006,FL155,T3,Zone_B,S-21,sorting,,4.4,49.5,1,0,0,0,1,,
2025-01-01 08:38:00,1,8,B006,FL155,T3,Zone_B,S-01,transport,1.57,3.3,46.0,1,0,0,0,1,,0.9
2025-01-01 11:58:00,1,11,B007,FL200,T1,Zone_B,C-02,checkin,1.53,3.1,49.3,1,0,0,0,1,,0.2
2025-01-01 12:01:00,1,12,B007,FL200,T1,Zone_B,S-12,screening,,3.4,46.4,1,0,0,0,1,2.0,
2025-01-01 12:06:00,1,12,B007,FL200,T1,Zone_B,S-22,sorting,,2.9,51.6,1,0,0,0,1,,
2025-01-01 12:08:00,1,12,B007,FL200,T1,Zone_B,S-09,transport,1.6,5.1,42.5,1,0,0,0,1,,0.1
2025-01-01 10:27:00,1,10,B008,FL101,T1,Zone_B,S-02,transport,1.82,3.0,43.3,1,0,0,0,1,,0.8
2025-01-01 10:30:00,1,10,B008,FL101,T1,Zone_B,S-12,screening,,3.6,45.1,1,0,0,0,1,0.8,
2025-01-01 10:35:00,1,10,B008,FL101,T1,Zone_B,S-21,sorting,,4.4,44.3,1,0,0,0,1,,
